asset_id,asset_type,location,region,urban_type,size_m2,rooms,bathrooms,year_built,age_years,floor,building_floors,has_elevator,has_garden,has_balcony,garage,owner_occupied,public_transport_nearby,distance_to_center_km,energy_class,humidity_level,temperature_avg,noise_level,air_quality_index,valuation_k,condition_score,risk_score,luxury_score,env_score,last_verified_ts,price_per_sqm,quarter_built,decade_built,rooms_per_sqm,bathrooms_per_room,avg_room_size,location_premium,amenity_count,price_vs_region_avg,prediction_ts,size_bin,luxury_category,days_since_verification,hours_since_verification,age_category,efficiency_score,value_segment,anomaly_score,anomaly_flag
asset_0132,property,Milan,north,urban,197,5,1,1964,61,3,4,1,1,0,1,1,1,0.52,F,57.7,23.3,65,110,705.95,0.713,0.303,0.6,0.3,2025-07-18 08:25:13+00:00,3583.49,1,1960,0.0253807106598984,0.2,39.4,1.2,3,2.3923521776726626,2025-07-28T21:00:42.745957,"(183.1, 199.0]",mid,10,252.59468061444443,Old,5.733604060913706,Luxury,-1,True
asset_1438,property,Trieste,northeast,semiurban,195,2,3,1956,69,3,4,1,0,1,0,1,0,0.05,A,69.3,23.1,48,64,710.72,0.714,0.263,0.6,0.7,2025-07-24 15:16:13+00:00,3644.74,1,1950,0.0102564102564102,1.5,97.5,1.0,2,2.417311153537728,2025-07-28T21:00:42.745957,"(183.1, 199.0]",mid,4,101.74468061444445,Old,5.831548717948719,Luxury,1,False
asset_2788,property,Milan,north,urban,198,2,3,1989,36,0,1,0,0,1,0,0,1,5.24,A,46.6,12.4,52,48,701.45,0.827,0.187,0.6,0.7,2025-07-27 19:03:13+00:00,3542.67,1,1980,0.0101010101010101,1.5,99.0,1.2,1,2.377102393977604,2025-07-28T21:00:42.745957,"(183.1, 199.0]",mid,1,25.961347281111113,Mature,5.6682828282828295,Luxury,1,False
asset_2803,property,Catania,south,semiurban,196,3,1,1994,31,0,1,0,0,0,1,1,1,0.01,B,30.2,19.3,76,31,725.12,0.905,0.11,0.6,0.4,2025-07-12 02:29:13+00:00,3699.62,1,1990,0.0153061224489795,0.3333333333333333,65.33333333333333,1.0,1,2.395629635633296,2025-07-28T21:00:42.745957,"(183.1, 199.0]",mid,16,402.5280139477778,Mature,5.919346938775511,Luxury,-1,True
asset_3323,property,Bologna,north,urban,194,2,1,1961,64,1,6,1,0,0,0,0,1,0.59,A,39.9,20.8,38,70,707.18,0.859,0.127,0.4,1.0,2025-06-20 02:30:13+00:00,3645.26,1,1960,0.0103092783505154,0.5,97.0,1.2,1,2.3965204518826453,2025-07-28T21:00:42.745957,"(183.1, 199.0]",low,38,930.5113472811111,Old,5.103360824742267,Luxury,-1,True
asset_0201,property,Cagliari,islands,rural,126,5,3,1950,75,2,5,1,0,0,1,1,0,3.95,E,65.4,24.5,77,92,348.35,0.583,0.434,0.4,0.0,2025-06-27 14:57:13+00:00,2764.7,1,1950,0.0396825396825396,0.6,25.2,0.8,2,1.2027490377199208,2025-07-28T21:00:42.745957,"(119.5, 135.4]",low,31,750.061347281111,Old,3.8705555555555557,Premium,1,False
asset_0255,property,Genoa,north,urban,51,5,3,2015,10,0,6,1,0,1,1,1,0,7.58,G,68.9,13.4,78,63,178.79,0.534,0.478,0.4,0.4,2025-06-09 06:22:13+00:00,3505.68,1,2010,0.0980392156862745,0.6,10.2,1.2,3,0.6058908504088042,2025-07-28T21:00:42.745957,"(39.841, 55.9]",low,49,1190.6446806144445,New,4.907960784313725,Budget,-1,True
asset_0320,property,Venice,northeast,rural,151,5,1,2009,16,4,5,1,0,0,0,0,0,0.85,E,67.6,13.8,45,57,526.99,0.585,0.432,0.2,0.7,2025-07-02 03:05:13+00:00,3490.03,1,2000,0.0331125827814569,0.2,30.2,0.8,1,1.7924060175636638,2025-07-28T21:00:42.745957,"(135.4, 151.3]",low,26,641.9280139477777,Modern,4.188,Luxury,-1,True
asset_0399,property,Turin,north,urban,104,4,1,2002,23,1,7,1,0,1,1,0,0,9.65,G,69.0,14.2,62,131,320.85,0.587,0.41,0.4,0.0,2025-07-25 04:07:13+00:00,3085.11,1,2000,0.0384615384615384,0.25,26.0,1.2,3,1.0873095774577148,2025-07-28T21:00:42.745957,"(103.6, 119.5]",low,3,88.89468061444445,Modern,4.319134615384615,Premium,-1,True
asset_0433,property,Cagliari,islands,rural,84,2,1,1973,52,3,4,1,0,0,1,0,1,2.89,F,65.2,12.6,52,34,245.71,0.561,0.447,0.2,0.4,2025-06-12 00:23:13+00:00,2925.17,1,1970,0.0238095238095238,0.5,42.0,0.8,2,0.8483636172187792,2025-07-28T21:00:42.745957,"(71.8, 87.7]",low,46,1124.6280139477778,Old,3.5101428571428572,Mid-range,1,False
asset_0438,property,Palermo,south,semiurban,197,5,3,1979,46,3,4,1,0,1,0,1,1,4.14,G,67.3,12.2,33,129,579.92,0.497,0.505,0.4,0.3,2025-05-28 14:06:13+00:00,2943.78,1,1970,0.0253807106598984,0.6,39.4,1.0,2,1.9159222450028424,2025-07-28T21:00:42.745957,"(183.1, 199.0]",low,61,1470.9113472811111,Mature,4.12125888324873,Luxury,-1,True
asset_0556,property,Turin,north,urban,115,3,3,2020,5,2,9,1,0,1,0,1,1,1.84,G,65.1,24.6,55,101,263.02,0.522,0.471,0.2,0.0,2025-07-09 05:38:13+00:00,2287.15,1,2020,0.0260869565217391,1.0,38.333333333333336,1.2,2,0.8913329127720996,2025-07-28T21:00:42.745957,"(103.6, 119.5]",low,19,471.3780139477778,New,2.74455652173913,Mid-range,-1,True
asset_0564,property,Bari,south,semiurban,180,2,3,1970,55,0,6,1,0,0,0,0,1,1.27,F,69.3,24.8,66,116,357.22,0.56,0.425,0.2,0.0,2025-07-24 04:39:13+00:00,1984.56,1,1970,0.0111111111111111,1.5,90.0,1.0,1,1.1801726865083382,2025-07-28T21:00:42.745957,"(167.2, 183.1]",low,4,112.36134728111112,Old,2.381466666666667,Premium,-1,True
asset_0671,property,Naples,south,urban,61,2,3,1958,67,3,8,1,0,0,1,1,1,5.33,G,66.5,24.9,47,74,205.77,0.534,0.49,0.2,0.7,2025-07-17 01:11:13+00:00,3373.32,1,1950,0.0327868852459016,1.5,30.5,1.2,2,0.6798167339533642,2025-07-28T21:00:42.745957,"(55.9, 71.8]",low,11,283.8280139477778,Old,4.047934426229508,Mid-range,-1,True
asset_0775,property,Naples,south,urban,114,5,1,1986,39,0,2,0,0,1,0,1,0,6.47,G,66.2,21.3,22,30,246.17,0.584,0.365,0.2,0.7,2025-06-28 22:37:13+00:00,2159.43,1,1980,0.043859649122807,0.2,22.8,1.2,1,0.8132890382334628,2025-07-28T21:00:42.745957,"(103.6, 119.5]",low,29,718.3946806144444,Mature,2.5912631578947365,Mid-range,1,False
asset_0777,property,Bologna,north,urban,77,5,2,2021,4,2,3,0,0,1,1,0,1,1.83,D,69.4,12.4,65,99,110.42,0.571,0.421,0.4,0.0,2025-06-22 03:31:13+00:00,1433.98,1,2020,0.0649350649350649,0.4,15.4,1.2,2,0.3741958034685394,2025-07-28T21:00:42.745957,"(71.8, 87.7]",low,36,881.4946806144444,New,2.0076363636363634,Budget,-1,True
asset_0781,property,Turin,north,urban,45,3,2,1972,53,0,2,0,0,1,1,1,1,1.64,E,69.5,13.8,51,141,124.27,0.579,0.43,0.4,0.0,2025-06-13 16:34:13+00:00,2761.51,1,1970,0.0666666666666666,0.6666666666666666,15.0,1.2,2,0.4211312488411102,2025-07-28T21:00:42.745957,"(39.841, 55.9]",low,45,1084.4446806144445,Old,3.8661777777777773,Budget,-1,True
asset_0925,property,Venice,northeast,rural,182,6,3,1955,70,2,3,0,0,0,0,0,1,2.96,G,68.9,13.5,21,132,445.25,0.553,0.456,0.2,0.3,2025-07-12 04:25:13+00:00,2446.42,1,1950,0.0329670329670329,0.5,30.33333333333333,0.8,0,1.5143907461625865,2025-07-28T21:00:42.745957,"(167.2, 183.1]",low,16,400.5946806144445,Old,2.935714285714286,Luxury,-1,True
asset_0962,property,Genoa,north,urban,187,3,3,1985,40,2,5,1,0,1,1,1,1,2.16,G,68.5,12.2,54,58,413.23,0.551,0.43,0.6,0.4,2025-06-09 08:13:13+00:00,2209.79,1,1980,0.0160427807486631,1.0,62.333333333333336,1.2,3,1.400370692513173,2025-07-28T21:00:42.745957,"(183.1, 199.0]",mid,49,1188.7946806144446,Mature,3.5356577540106957,Luxury,-1,True
asset_1260,property,Venice,northeast,rural,47,4,1,1956,69,2,5,1,1,0,1,1,1,3.61,F,68.0,24.8,28,55,79.15,0.55,0.461,0.4,0.7,2025-06-14 08:50:13+00:00,1684.11,1,1950,0.0851063829787234,0.25,11.75,0.8,3,0.2692061259040285,2025-07-28T21:00:42.745957,"(39.841, 55.9]",low,44,1068.1780139477778,Old,2.357659574468085,Budget,-1,True
