asset_id,asset_type,location,size_m2,rooms,bathrooms,year_built,floor,building_floors,has_elevator,has_garden,has_balcony,garage,energy_class,humidity_level,temperature_avg,noise_level,air_quality_index,valuation_k,condition_score,risk_score,last_verified_ts
asset_0000,property,Palermo,170,6,2,1979,1,9,1,0,0,0,A,69.7,20.0,77,51,217.1,0.73,0.261,2025-07-17T15:32:04Z
asset_0001,property,Palermo,54,4,3,2013,0,3,0,1,1,1,B,64.4,20.8,28,68,91.77,0.822,0.191,2025-07-05T01:00:04Z
asset_0002,property,Palermo,48,3,1,1951,3,7,1,1,0,0,B,47.6,13.6,27,76,90.58,0.776,0.216,2025-06-28T07:28:04Z
asset_0003,property,Rome,171,3,2,1955,1,5,1,1,0,1,D,37.4,24.6,45,73,591.7,0.764,0.254,2025-06-27T03:59:04Z
asset_0004,property,Palermo,87,5,1,2011,4,9,1,1,1,1,A,40.9,22.8,45,118,190.65,0.857,0.146,2025-07-13T22:19:04Z
asset_0005,property,Florence,54,6,1,2020,0,8,1,0,0,0,E,45.8,15.8,30,144,152.59,0.828,0.187,2025-06-04T13:35:04Z
asset_0006,property,Florence,44,3,3,1990,3,4,1,0,0,0,G,54.9,16.3,67,148,84.27,0.774,0.208,2025-05-25T12:13:04Z
asset_0007,property,Bologna,143,4,3,2014,2,7,1,1,0,1,C,68.9,23.0,24,119,266.22,0.688,0.319,2025-07-05T18:20:04Z
asset_0008,property,Naples,163,6,3,2012,0,4,1,0,0,1,F,52.5,21.0,56,52,429.2,0.762,0.242,2025-06-14T16:22:04Z
asset_0009,property,Florence,52,4,3,1977,1,3,0,1,1,0,F,62.3,20.2,25,57,173.52,0.767,0.237,2025-06-06T04:44:04Z
asset_0010,property,Bologna,131,2,3,2011,0,1,0,0,1,0,G,39.1,17.6,71,106,421.54,0.75,0.245,2025-06-24T07:33:04Z
asset_0011,property,Florence,176,6,1,2000,1,5,1,1,0,0,C,39.8,14.2,51,125,447.12,0.837,0.16,2025-06-08T00:12:04Z
asset_0012,property,Florence,91,5,2,1988,1,4,1,0,0,1,B,42.0,15.7,36,88,255.62,0.857,0.143,2025-06-01T22:03:04Z
asset_0013,property,Bologna,168,4,2,1951,4,8,1,1,1,0,D,47.9,19.2,74,97,247.84,0.804,0.183,2025-07-05T11:05:04Z
asset_0014,property,Naples,77,6,2,2019,2,9,1,0,0,0,B,33.6,22.9,79,88,131.7,0.872,0.118,2025-05-29T18:10:04Z
asset_0015,property,Turin,186,3,3,1968,3,7,1,0,1,0,D,67.6,17.2,58,111,586.57,0.703,0.314,2025-06-14T14:54:04Z
asset_0016,property,Bologna,190,3,3,1956,3,5,1,0,0,0,C,69.3,18.7,68,31,663.36,0.701,0.309,2025-07-12T06:10:04Z
asset_0017,property,Turin,199,4,3,1958,0,3,0,1,1,0,F,58.0,23.0,39,53,438.94,0.757,0.279,2025-06-17T10:05:04Z
asset_0018,property,Florence,151,2,3,1974,4,6,1,0,0,1,F,36.4,19.1,73,64,414.63,0.805,0.176,2025-07-10T03:49:04Z
asset_0019,property,Bologna,72,6,3,2016,0,1,0,1,0,0,A,51.7,18.6,41,148,144.27,0.886,0.115,2025-06-18T15:30:04Z
asset_0020,property,Florence,90,4,3,1970,0,1,0,0,0,0,C,37.8,21.4,38,33,113.03,0.829,0.181,2025-07-16T07:41:04Z
asset_0021,property,Rome,197,6,2,1955,2,6,1,0,1,0,G,30.6,24.1,68,75,679.39,0.663,0.307,2025-05-31T21:48:04Z
asset_0022,property,Turin,106,3,1,2003,1,4,1,1,0,0,B,52.8,13.3,51,76,397.0,0.801,0.176,2025-06-15T20:10:04Z
asset_0023,property,Florence,169,3,1,1982,0,6,1,0,0,0,F,44.4,15.8,74,55,517.69,0.8,0.277,2025-06-04T06:12:04Z
asset_0024,property,Genoa,59,2,2,1965,3,6,1,0,0,1,E,43.5,16.9,21,61,156.27,0.809,0.18,2025-07-12T08:23:04Z
asset_0025,property,Florence,102,6,2,2007,1,7,1,1,1,0,E,40.0,12.5,34,83,263.4,0.759,0.231,2025-07-19T12:52:04Z
asset_0026,property,Bologna,99,5,1,2017,4,8,1,0,1,0,G,46.5,21.1,59,81,154.03,0.748,0.242,2025-07-14T23:22:04Z
asset_0027,property,Genoa,58,5,2,2004,1,6,1,1,1,0,F,37.4,13.1,28,41,139.15,0.713,0.281,2025-07-03T23:46:04Z
asset_0028,property,Palermo,73,2,1,1950,4,9,1,0,1,0,C,54.5,17.5,31,55,152.37,0.845,0.192,2025-06-23T00:42:04Z
asset_0029,property,Milan,124,5,1,1972,1,3,0,0,0,0,A,68.0,23.5,71,124,160.82,0.73,0.285,2025-06-23T16:16:04Z
asset_0030,property,Genoa,108,6,3,1951,0,4,1,0,1,1,E,53.0,17.0,79,62,255.43,0.824,0.177,2025-07-11T02:26:04Z
asset_0031,property,Rome,106,2,1,1989,1,4,1,1,1,0,D,37.8,12.9,50,75,146.64,0.766,0.222,2025-07-15T19:03:04Z
asset_0032,property,Florence,120,3,1,1975,1,3,0,0,0,0,G,43.6,15.4,26,97,335.24,0.761,0.235,2025-07-09T02:06:04Z
asset_0033,property,Palermo,159,5,1,1970,4,5,1,0,0,0,B,51.9,17.5,43,93,421.49,0.858,0.15,2025-07-19T03:21:04Z
asset_0034,property,Genoa,135,6,1,2004,4,5,1,0,0,1,F,39.5,16.9,68,91,323.18,0.759,0.224,2025-07-10T09:19:04Z
asset_0035,property,Bologna,58,2,1,1968,3,4,1,1,1,0,A,42.8,24.4,71,112,157.14,0.832,0.211,2025-07-16T14:00:04Z
asset_0036,property,Rome,92,2,3,2002,1,3,0,0,0,0,A,32.3,19.1,24,64,313.15,0.863,0.131,2025-05-26T10:33:04Z
asset_0037,property,Florence,115,2,2,2007,3,4,1,0,0,1,A,34.0,13.1,32,69,172.11,0.821,0.196,2025-06-11T20:35:04Z
asset_0038,property,Bologna,44,6,1,1987,2,7,1,0,1,0,E,44.8,22.6,26,118,117.7,0.837,0.144,2025-05-21T07:24:04Z
asset_0039,property,Turin,58,6,2,1988,2,4,1,0,1,1,B,66.3,13.4,22,74,86.67,0.636,0.363,2025-06-20T04:38:04Z
asset_0040,property,Rome,100,2,3,1950,2,7,1,0,1,1,E,39.5,17.2,79,142,151.07,0.759,0.264,2025-07-14T22:24:04Z
asset_0041,property,Florence,97,5,1,1981,4,9,1,0,1,1,A,42.9,12.6,40,104,349.53,0.827,0.152,2025-06-26T06:27:04Z
asset_0042,property,Milan,185,2,1,1963,0,5,1,0,1,1,G,57.9,17.0,42,86,623.44,0.682,0.313,2025-06-06T22:18:04Z
asset_0043,property,Rome,156,3,2,1957,1,5,1,0,1,0,C,53.3,13.0,60,129,546.05,0.787,0.251,2025-05-24T11:50:04Z
asset_0044,property,Bologna,196,6,2,1984,4,6,1,0,1,0,F,46.7,19.6,44,95,277.5,0.793,0.228,2025-07-05T17:57:04Z
asset_0045,property,Milan,44,2,2,2014,1,9,1,0,1,1,G,69.4,16.9,45,92,104.57,0.605,0.42,2025-07-13T19:10:04Z
asset_0046,property,Turin,137,2,3,1950,4,8,1,0,1,1,B,62.5,25.0,57,32,368.39,0.741,0.271,2025-07-08T16:09:04Z
